Owner_ID,Owner_Name,Age,Gender,Occupation,Annual_Income_NPR,City,Phone,Email,Member_Since
OWN0001,Sita Adhikari,47,Male,Teacher,2909477,Dailekh,9823334787,owner1@email.com,2023-06-26
OWN0002,Saraswati Shrestha,34,Female,Government Employee,3113445,Tansen,9872573947,owner2@email.com,2022-07-15
OWN0003,Deepak Tamang,47,Female,Entrepreneur,4484584,Nepalgunj,9889616368,owner3@email.com,2024-09-07
OWN0004,Prakash Gurung,57,Female,Entrepreneur,1324187,Rajbiraj,9828418739,owner4@email.com,2024-06-18
OWN0005,Shiva Khadka,36,Male,Doctor,2043421,Lalitpur,9850450073,owner5@email.com,2022-12-05
OWN0006,Sunita Khadka,51,Female,Government Employee,1354716,Damak,9889968415,owner6@email.com,2023-08-03
OWN0007,Binod Khadka,26,Female,Doctor,3646192,Lahan,9899303748,owner7@email.com,2023-02-09
OWN0008,Rajesh Gurung,33,Female,Entrepreneur,806629,Dhulikhel,9849730919,owner8@email.com,2022-03-07
OWN0009,Rajesh Rana,45,Female,Doctor,2850683,Madhyapur Thimi,9869941891,owner9@email.com,2024-02-23
OWN0010,Anita Rana,45,Male,Entrepreneur,519048,Banepa,9872628686,owner10@email.com,2022-03-28
OWN0011,Prakash Thapa,33,Male,Government Employee,4994610,Madhyapur Thimi,9826867311,owner11@email.com,2024-08-03
OWN0012,Lakshmi Karki,50,Male,Government Employee,3417759,Tansen,9825388640,owner12@email.com,2022-02-08
OWN0013,Lakshmi Tamang,59,Female,Doctor,1198575,Dailekh,9844504916,owner13@email.com,2024-07-15
OWN0014,Sunita Rana,57,Male,Entrepreneur,1559681,Mechinagar,9883975141,owner14@email.com,2024-04-19
OWN0015,Krishna Thapa,29,Female,Business Owner,1006703,Gorkha,9823275200,owner15@email.com,2023-05-28
OWN0016,Rajesh Karki,58,Male,Business Owner,2100589,Damak,9873868824,owner16@email.com,2024-01-24
OWN0017,Sunita Magar,26,Male,Government Employee,1147943,Birgunj,9880732080,owner17@email.com,2024-03-06
OWN0018,Ram Tamang,27,Female,IT Professional,1169991,Bhaktapur,9840640456,owner18@email.com,2024-12-26
OWN0019,Maya Sharma,49,Female,Engineer,4164382,Tansen,9863542029,owner19@email.com,2022-07-26
OWN0020,Hari Tamang,50,Male,Doctor,3077201,Lahan,9842902735,owner20@email.com,2022-06-28
OWN0021,Shiva Paudel,43,Male,Engineer,1333710,Dhangadhi,9884616278,owner21@email.com,2024-01-09
OWN0022,Parvati Magar,53,Male,Business Owner,580409,Rajbiraj,9817869218,owner22@email.com,2022-06-06
OWN0023,Ram Paudel,51,Female,Engineer,4941671,Lahan,9887434579,owner23@email.com,2023-10-01
OWN0024,Suman Chaudhary,59,Female,Doctor,2970207,Lamjung,9823523446,owner24@email.com,2024-01-05
OWN0025,Deepak Khadka,38,Female,Government Employee,3192300,Hetauda,9880363358,owner25@email.com,2022-10-07
OWN0026,Rajesh Paudel,39,Female,Government Employee,915042,Dailekh,9819983044,owner26@email.com,2023-09-02
OWN0027,Prakash Khadka,57,Female,Teacher,4892847,Mechinagar,9880568264,owner27@email.com,2024-05-26
OWN0028,Ram Paudel,38,Male,Entrepreneur,3094872,Lahan,9848956357,owner28@email.com,2024-04-26
OWN0029,Anita Adhikari,53,Male,Business Owner,1157604,Madhyapur Thimi,9848916113,owner29@email.com,2022-03-01
OWN0030,Hari Rana,27,Male,Engineer,3823321,Damak,9861036187,owner30@email.com,2024-03-21
OWN0031,Deepak Tamang,42,Male,Teacher,2884109,Panauti,9860284556,owner31@email.com,2023-05-24
OWN0032,Anita Paudel,36,Male,IT Professional,2633374,Lahan,9810397479,owner32@email.com,2024-12-21
OWN0033,Ganesh Karki,52,Male,Business Owner,3008989,Beni,9855365155,owner33@email.com,2024-11-04
OWN0034,Binod Tamang,47,Female,Teacher,2547674,Beni,9836703071,owner34@email.com,2022-05-22
OWN0035,Durga Adhikari,43,Female,Government Employee,3922861,Kirtipur,9839295611,owner35@email.com,2022-03-14
OWN0036,Suman Sharma,39,Male,Private Employee,3886610,Gorkha,9844312510,owner36@email.com,2022-04-03
OWN0037,Rajesh Magar,41,Male,IT Professional,1432697,Pokhara,9821291516,owner37@email.com,2024-11-30
OWN0038,Krishna Paudel,28,Female,Engineer,3899199,Tikapur,9870461909,owner38@email.com,2022-08-08
OWN0039,Suman Rana,35,Male,Doctor,1587603,Lamjung,9817564464,owner39@email.com,2024-05-23
OWN0040,Lakshmi Chaudhary,44,Male,Business Owner,1632831,Baglung,9848360559,owner40@email.com,2024-04-19
OWN0041,Saraswati Sharma,35,Female,Teacher,4744436,Jaleshwor,9885706465,owner41@email.com,2022-11-02
OWN0042,Suman Chaudhary,57,Female,IT Professional,2903651,Dharan,9845457444,owner42@email.com,2024-09-22
OWN0043,Saraswati Shrestha,32,Male,Teacher,4510906,Panauti,9866420553,owner43@email.com,2022-06-07
OWN0044,Saraswati Magar,59,Female,Entrepreneur,571023,Damak,9815933695,owner44@email.com,2022-05-05
OWN0045,Ganesh Tamang,36,Female,Government Employee,1460722,Lamjung,9891022718,owner45@email.com,2023-02-21
OWN0046,Shiva Rana,45,Male,Engineer,3545373,Beni,9882421614,owner46@email.com,2023-08-09
OWN0047,Sita Rana,48,Female,Government Employee,1035619,Bhairahawa,9810072072,owner47@email.com,2024-06-04
OWN0048,Anita Magar,50,Male,Engineer,4756702,Baglung,9810356215,owner48@email.com,2023-11-04
OWN0049,Prakash Rana,60,Male,Entrepreneur,3789941,Pokhara,9826096229,owner49@email.com,2023-11-10
